domaine,url_contribution,contrepartie_demandee,trafic_estime,autorite,backlinks,ref_domains,source,date_releve,statut_f4,motif_f4
digiformag.com,https://www.digiformag.com/en/join-digiformag/,"Candidature contributeur avec bio auteur, article invité sur la formation professionnelle",inconnu,inconnu,inconnu,inconnu,https://www.digiformag.com/en/join-digiformag/,2026-08-16,"retenu (Sheet F·Netlinking, tableau 5)",
francenum.gouv.fr,https://www.francenum.gouv.fr/experts-du-numerique/experts-du-numerique-rejoignez-le-reseau-des-activateurs-france-num,"Inscription publique au réseau des Activateurs France Num, délai de traitement 3 à 4 semaines",inconnu,inconnu,inconnu,inconnu,https://www.francenum.gouv.fr/experts-du-numerique/experts-du-numerique-rejoignez-le-reseau-des-activateurs-france-num,2026-08-16,"retenu (Sheet F·Netlinking, tableau 5)",
innovation-pedagogique.fr,https://www.innovation-pedagogique.fr/article35.html,"Inscription nominative sur le site contributif, publication soumise à modération",inconnu,inconnu,inconnu,inconnu,https://www.innovation-pedagogique.fr/article35.html,2026-08-16,"retenu (Sheet F·Netlinking, tableau 5)",
sydo.fr,https://sydo.fr/sydologie/contact/,Proposer un article invité avec références citées à l'appui,inconnu,inconnu,inconnu,inconnu,https://sydo.fr/sydologie/contact/,2026-08-16,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 11e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
ludomag.com,https://www.ludomag.com/contacter-la-redaction/,Proposer un article ou un reportage à la rédaction,inconnu,inconnu,inconnu,inconnu,https://www.ludomag.com/contacter-la-redaction/,2026-08-16,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 18e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
cahiers-pedagogiques.com,https://www.cahiers-pedagogiques.com/categories/proposer-un-article/,Article préparé conjointement avec un coordinateur de la revue,inconnu,inconnu,inconnu,inconnu,https://www.cahiers-pedagogiques.com/categories/proposer-un-article/,2026-08-16,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 19e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
e-learning-letter.com,mailto:actu@e-learning-letter.com,"Envoyer une actualité ou une prise de position par e-mail, cible décideurs formation-RH",inconnu,inconnu,inconnu,inconnu,mailto:actu@e-learning-letter.com,2026-08-16,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 20e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
agoravox.fr,https://www.agoravox.fr/spip.php?page=inscription,Créer un compte rédacteur avec un champ site internet renseignable au profil,inconnu,inconnu,inconnu,inconnu,https://www.agoravox.fr/spip.php?page=inscription,2026-08-16,refusé,"Contrôle 5 en refuse : AgoraVox exploite une page publique de vente d'articles sponsorisés/communiqués (agoravox.fr/communiques, ~380-450€/article, liens dofollow pour les payants) — ce qui est un critère de refus explicite. En complément, le lien de profil gratuit proposé comme contrepartie est en rel=nofollow (confirmé sur le code source), donc de faible valeur SEO même indépendamment du contrôle 5."
zoneia.fr,https://zoneia.fr/soumettre,"Soumettre un outil IA au répertoire, validation sous 24 à 72 h, lien dofollow constaté",inconnu,inconnu,inconnu,inconnu,https://zoneia.fr/soumettre,2026-08-16,"retenu (Sheet F·Netlinking, tableau 5)",
podcast.ausha.co,https://podcast.ausha.co/retour-sur-les-attentes,Proposer un sujet aux animateurs du podcast,inconnu,inconnu,inconnu,inconnu,https://podcast.ausha.co/retour-sur-les-attentes,2026-08-16,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 12e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
lepodcastdelaformation.fr,https://lepodcastdelaformation.fr/contact/,Utiliser le bouton Participer au Podcast pour proposer une intervention,inconnu,inconnu,inconnu,inconnu,https://lepodcastdelaformation.fr/contact/,2026-08-16,"retenu (Sheet F·Netlinking, tableau 5)",
journaldunet.com,https://www.journaldunet.com/contacts/,"Proposer une chronique d'expert dans la rubrique Management & e-RH, distincte des partenariats",inconnu,inconnu,inconnu,inconnu,https://www.journaldunet.com/contacts/,2026-08-16,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 13e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
actuia.com,https://www.actuia.com/publier/,"Soumettre une tribune ou analyse via le formulaire dédié, publication gratuite si retenue par le comité éditorial",inconnu,inconnu,inconnu,inconnu,https://www.actuia.com/publier/,2026-08-25,refusé,"Contrôle 5 (vente de liens) en refus : ActuIA a une page publique « Annonceurs » et une offre commerciale explicite d'articles sponsorisés/tarifs à la carte, en parallèle de la voie tribune gratuite. Un seul contrôle en refus suffit à écarter le site selon la règle de décision."
myrhline.com,https://myrhline.com/devenir-auteur-rh/,"Candidature libre via formulaire, ouverte aux indépendants et fondateurs de start-up RH, étudiée au cas par cas",inconnu,inconnu,inconnu,inconnu,https://myrhline.com/devenir-auteur-rh/,2026-08-25,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 21e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
cadre-dirigeant-magazine.com,https://www.cadre-dirigeant-magazine.com/?page_id=29885,"Envoyer un projet de tribune de 800-1000 mots sans lien marchand ni rémunération, en échange d'une fiche biographique",inconnu,inconnu,inconnu,inconnu,https://www.cadre-dirigeant-magazine.com/contactez-la-redaction/,2026-08-25,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 14e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
economiematin.fr,https://www.economiematin.fr/contact,"Envoyer sa proposition de tribune ou avis d'expert via la page Contact, rubrique Les Experts",inconnu,inconnu,inconnu,inconnu,https://www.economiematin.fr/contact,2026-08-25,refusé,"Contrôle 6 (lien dans le texte) refusé : les tribunes 'Les Experts' publient une bio d'auteur mais sans lien hypertexte externe vers le site de l'auteur, seulement un lien interne vers l'archive economiematin.fr — constat répété sur plusieurs exemples, donc pas de valeur de backlink réelle malgré une contrepartie non-financière acceptable."
wydden.com,https://wydden.com/devenir-contributeur/,"Soumission gratuite via formulaire, article de 500 à 700 mots sans publicité ni communiqué de presse (suite éditoriale de 1001startups)",inconnu,inconnu,inconnu,inconnu,https://wydden.com/devenir-contributeur/,2026-08-25,refusé,"Contrôle 6 : la politique du site déclare explicitement que les liens vers le site du contributeur ne sont acceptés que de façon exceptionnelle, ce qui exclut de fait un lien contextuel standard vers claudeagency.fr dans le corps de l'article."
lecoindesentrepreneurs.fr,https://www.lecoindesentrepreneurs.fr/nous-contacter/,"Formulaire de contact avec option Devenir auteur sur le site, aucune contrepartie financière mentionnée",inconnu,inconnu,inconnu,inconnu,https://www.lecoindesentrepreneurs.fr/nous-contacter/,2026-08-25,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 22e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
maddyness.com,https://forms.maddyness.com/tribune,"Formulaire gratuit (contribution de 100€ facultative), tribune de 600-900 mots réservée à l'entrepreneuriat français",inconnu,inconnu,inconnu,inconnu,https://forms.maddyness.com/tribune,2026-08-25,refusé,"Contrôle 6 refusé : les tribunes publiées consultées ne comportent aucun lien (ni dans le texte, ni en bio) vers le site/l'entreprise de l'auteur, et les consignes éditoriales de Maddyness découragent explicitement les liens d'auto-promotion, préférant que le lecteur 'retrouve' l'auteur par lui-même."
frenchweb.fr,https://www.frenchweb.fr/les-experts,Envoyer une proposition de sujet à redaction@frenchweb.fr pour rejoindre la communauté d'Experts FrenchWeb,inconnu,inconnu,inconnu,inconnu,https://www.frenchweb.fr/les-experts,2026-08-25,refusé,"Controle 5 (vente de liens) en refuse : une page annonceurs publique (frenchweb.fr/communiquer-sur-frenchweb-fr) vend explicitement des formats 'Articles' et autres contenus sponsorisés sur le même domaine, même si le programme Expert (gratuit) en est distinct."
lemondeinformatique.fr,https://www.lemondeinformatique.fr/actualites/chroniques-2.html,"Créer un compte lecteur gratuit et soumettre sa chronique, la rédaction ne retient que les meilleures contributions",inconnu,inconnu,inconnu,inconnu,https://www.lemondeinformatique.fr/actualites/chroniques-2.html,2026-08-26,refusé,"Contrôle 6 (lien dans le texte) refusé : sur les chroniques externes vérifiées, aucun lien n'apparaît dans le corps du texte, et le seul lien de la bio de fin d'article pointe vers une page interne du site (fiche chroniqueur), pas vers le site externe de l'auteur. Le format ne permet donc pas d'obtenir un backlink utile vers claudeagency.fr dans le texte."
institutsapiens.fr,https://www.institutsapiens.fr/sapiens-vous/,"Envoyer sa proposition à contact@institutsapiens.fr, examinée gratuitement par le comité scientifique",inconnu,inconnu,inconnu,inconnu,https://www.institutsapiens.fr/sapiens-vous/,2026-08-26,refusé,"Contrôle 6 (lien dans le texte) refusé : sur les exemples de publications vérifiées, la signature de l'auteur reste en texte brut sans lien cliquable vers son site/organisation, et le corps de l'article ne contient pas de lien externe vers le contributeur. Même en obtenant une tribune, rien ne garantit l'obtention d'un backlink placé dans le texte."
comarketing-news.fr,https://comarketing-news.fr/contact/,"Contacter contact@comarketing-news.fr pour proposer un article, aucune contrepartie financière mentionnée",inconnu,inconnu,inconnu,inconnu,https://comarketing-news.fr/contact/,2026-08-26,refusé,"Contrôle 5 (vente de liens) : le site expose publiquement une offre commerciale d'articles sponsorisés (page 'Notre Site / Votre Média', accessible via 'Annoncer' dans le menu), ce qui déclenche le critère de refus même si la voie tribune/invité gratuite existe par ailleurs."
alliancy.fr,https://alliancy.fr/pages/contact,"Contacter redaction@alliancy.fr pour proposer une tribune, canal distinct du contact commercial payant",inconnu,inconnu,inconnu,inconnu,https://alliancy.fr/pages/contact,2026-08-26,refusé,"Contrôle 6 (lien dans le texte) refusé : aucun lien externe (ni corps d'article ni bio) vers le site/l'entreprise de l'auteur sur les tribunes échantillonnées — uniquement un lien interne vers la fiche profil alliancy.fr, elle-même sans lien sortant. Le backlink recherché n'existerait donc pas dans ce format."
itespresso.fr,https://www.itespresso.fr/avis-expert-information,"Rubrique Avis d'experts gratuite et ouverte, texte de 2000-4500 caractères non promotionnel soumis à validation",inconnu,inconnu,inconnu,inconnu,https://www.itespresso.fr/avis-expert-information,2026-08-26,refusé,"Contrôle 6 : vérifié sur des articles déjà publiés, aucun lien externe (site/LinkedIn de l'auteur) n'est jamais accordé dans le texte ou la biographie — seulement des liens internes à itespresso.fr. La contribution ne produit donc pas de backlink exploitable."
webmarketing-com.com,https://www.webmarketing-com.com/article-invite,"Article au format Word avec visuels intégrés, signature auteur (nom, titre, présentation 3 lignes, photo) ; gratuit, interdiction de promouvoir un service dans le texte",inconnu,inconnu,inconnu,inconnu,https://www.webmarketing-com.com/article-invite,2026-08-26,"retenu (Sheet F·Netlinking, tableau 5)",
wecomm.fr,https://wecomm.fr/proposer-article-invite/,"Formulaire avec présentation, URL du site et sujet proposé ; article d'au moins 1000 mots avec visuels libres de droits, gratuit, un lien dofollow par 1000 mots autorisé",inconnu,inconnu,inconnu,inconnu,https://wecomm.fr/proposer-article-invite/,2026-08-26,"retenu (Sheet F·Netlinking, tableau 5)",
anthedesign.fr,https://www.anthedesign.fr/blog/vous-aussi-devenez-contributeur-du-blog-anthedesign/,"Article complet et original proposé directement, sans contrepartie financière, le portrait de l'auteur rejoint la liste des contributeurs",inconnu,inconnu,inconnu,inconnu,https://www.anthedesign.fr/blog/vous-aussi-devenez-contributeur-du-blog-anthedesign/,2026-08-26,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 15e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
talks.freelancerepublik.com,https://talks.freelancerepublik.com/devenir-contributeur/,"Création de compte puis candidature avec photo, bio et article de 500 à 1000+ mots, relecture éditoriale avant publication, sans paiement demandé",inconnu,inconnu,inconnu,inconnu,https://talks.freelancerepublik.com/devenir-contributeur/,2026-08-26,refusé,"Contrôle 5 (vente de liens) refuse : page publique /articles-sponsorises/ = « Articles de nos partenaires » trouvée dans le menu principal, indiquant que le domaine publie du contenu sponsorisé/partenaire de façon officielle."
visionarymarketing.com,https://visionarymarketing.com/fr/soumettre-un-article/,"Article original d'au moins 1500 mots, bio de 3-4 lignes et photo professionnelle ; contenu promotionnel refusé, aucun frais mentionné",inconnu,inconnu,inconnu,inconnu,https://visionarymarketing.com/fr/soumettre-un-article/,2026-08-26,refusé,"Politique éditoriale explicite et répétée contre le backlinking/SEO : le site rejette sans préavis tout article dont le but est d'obtenir un lien pour le SEO, ce qui est en conflit direct avec l'objectif d'un backlink pour Claude Agency (contrôle 6)."
ecoles2commerce.com,http://www.ecoles2commerce.com/devenir-contributeur.html,"Email de candidature avec présentation et idées d'articles ; le site précise explicitement qu'il ne peut pas rémunérer ses contributeurs",inconnu,inconnu,inconnu,inconnu,http://www.ecoles2commerce.com/devenir-contributeur.html,2026-08-26,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 16e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
gestiondestalents.fr,https://gestiondestalents.fr/devenir-contributeur/,"Partager son expertise RH, aucune candidature formelle ni bio requise, aucune contrepartie financière (visibilité site + réseaux sociaux)",inconnu,inconnu,inconnu,inconnu,https://gestiondestalents.fr/devenir-contributeur/,2026-08-26,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 17e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
datackathon.com,https://www.datackathon.com/publier-soumettre-article/,"Formulaire simple pour proposer une tribune sur l'IA ou l'emploi, aucune contrepartie financière demandée ni offerte",inconnu,inconnu,inconnu,inconnu,https://www.datackathon.com/publier-soumettre-article/,2026-08-26,"retenu (Sheet F·Netlinking, tableau 5)",
fr.adp.com,https://www.fr.adp.com/rhinfo/contactez-nous.aspx,"Formulaire de contact professionnel pour contribuer au portail RH info d'ADP, contributions bénévoles de praticiens RH",inconnu,inconnu,inconnu,inconnu,https://www.fr.adp.com/rhinfo/contactez-nous.aspx,2026-08-26,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 23e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
e-works.fr,https://www.e-works.fr/blog/devenez-contributeur-sur-le-blog-e-works/,"Email de présentation avec sujets emploi/recrutement souhaités, aucune rémunération, contrepartie en visibilité (fiche auteur, lien SEO)",inconnu,inconnu,inconnu,inconnu,https://www.e-works.fr/blog/devenez-contributeur-sur-le-blog-e-works/,2026-08-26,"retenu (Sheet F·Netlinking, tableau 5)",
souveraine.tech,https://souveraine.tech/devenir-contributeur/,"Tribune de 1000 mots minimum sur la souveraineté technologique (dont l'IA), sélection éditoriale et déclaration de conflit d'intérêts requises, aucune contrepartie financière",inconnu,inconnu,inconnu,inconnu,https://souveraine.tech/devenir-contributeur/,2026-08-26,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 25e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
tree-learning.fr,https://www.tree-learning.fr/blog-digital-learning/article-invite/,"Formulaire (nom, email, entreprise, sujets), publication gratuite en échange de visibilité — candidature déjà relancée côté Claude Agency (NETLINKING.md §9)",inconnu,inconnu,inconnu,inconnu,https://www.tree-learning.fr/blog-digital-learning/article-invite/,2026-08-26,"retenu (Sheet F·Netlinking, tableau 5)",
miroirsocial.com,https://www.miroirsocial.com/publiez-sur-le-media,"Inscription sur le site puis dépôt d'article en brouillon, validation éditoriale avant publication, gratuit",inconnu,inconnu,inconnu,inconnu,https://www.miroirsocial.com/publiez-sur-le-media,2026-08-26,"retenu (Sheet F·Netlinking, tableau 5)",
blog-rh.com,https://www.blog-rh.com/contact/,"Réservé aux DRH/professionnels RH, formulaire de contact générique, publication gratuite de la tribune",inconnu,inconnu,inconnu,inconnu,https://www.blog-rh.com/contact/,2026-08-26,"retenu (Sheet F·Netlinking, tableau 5)",
revolution-rh.com,https://www.revolution-rh.com/contact-2/,"Aucun paiement demandé, statut auteur et visibilité sur un média RH actif",inconnu,inconnu,inconnu,inconnu,https://www.revolution-rh.com/contact-2/,2026-08-26,"qualifié, non retenu (quota)","Aucun contrôle éliminatoire, mais quota voie article invité/tribune = 10 places : classé 24e/25 sur facilité d'entrée (visites non mesurables, Ubersuggest/Ahrefs cassés)."
blog-nouvelles-technologies.fr,https://www.blog-nouvelles-technologies.fr/proposer-un-article/,"Aucun paiement demandé, attribution auteur et visibilité (thème IA/tech)",inconnu,inconnu,inconnu,inconnu,https://www.blog-nouvelles-technologies.fr/proposer-un-article/,2026-08-26,refusé,"Contrôle 4 : rythme de publication mesuré à ~10 articles/jour sur le sitemap, soit le double du seuil de 5 articles/jour fixé pour ce contrôle (auteur et date sont bien présents, mais le volume est trop élevé)."
